"No.","Time","Source","Destination","Protocol","Length","Info"
"153","1.377098","1.1.1","host","USB","31","URB_INTERRUPT in"
"154","1.377184","host","1.1.1","USB","27","URB_INTERRUPT in"
"155","1.393089","1.1.1","host","USB","31","URB_INTERRUPT in"
"156","1.393154","host","1.1.1","USB","27","URB_INTERRUPT in"
"157","1.401117","1.1.1","host","USB","31","URB_INTERRUPT in"
"158","1.401212","host","1.1.1","USB","27","URB_INTERRUPT in"
"159","1.409103","1.1.1","host","USB","31","URB_INTERRUPT in"
"160","1.409144","host","1.1.1","USB","27","URB_INTERRUPT in"
"161","1.465114","1.1.1","host","USB","31","URB_INTERRUPT in"
"162","1.465235","host","1.1.1","USB","27","URB_INTERRUPT in"
"163","1.481237","1.1.1","host","USB","31","URB_INTERRUPT in"
"164","1.481351","host","1.1.1","USB","27","URB_INTERRUPT in"
"165","1.497177","1.1.1","host","USB","31","URB_INTERRUPT in"
"166","1.497230","host","1.1.1","USB","27","URB_INTERRUPT in"
"167","1.505100","1.1.1","host","USB","31","URB_INTERRUPT in"
"168","1.505155","host","1.1.1","USB","27","URB_INTERRUPT in"
"169","1.513100","1.1.1","host","USB","31","URB_INTERRUPT in"
"170","1.513176","host","1.1.1","USB","27","URB_INTERRUPT in"
"171","1.521278","1.1.1","host","USB","31","URB_INTERRUPT in"
"172","1.521351","host","1.1.1","USB","27","URB_INTERRUPT in"
"173","1.529101","1.1.1","host","USB","31","URB_INTERRUPT in"
"174","1.529173","host","1.1.1","USB","27","URB_INTERRUPT in"
"175","1.545241","1.1.1","host","USB","31","URB_INTERRUPT in"
"176","1.545302","host","1.1.1","USB","27","URB_INTERRUPT in"
"177","1.553250","1.1.1","host","USB","31","URB_INTERRUPT in"
"178","1.553311","host","1.1.1","USB","27","URB_INTERRUPT in"
"179","1.561399","1.1.1","host","USB","31","URB_INTERRUPT in"
"180","1.561467","host","1.1.1","USB","27","URB_INTERRUPT in"
"181","1.569244","1.1.1","host","USB","31","URB_INTERRUPT in"
"182","1.569302","host","1.1.1","USB","27","URB_INTERRUPT in"
"183","1.585163","1.1.1","host","USB","31","URB_INTERRUPT in"
"184","1.585217","host","1.1.1","USB","27","URB_INTERRUPT in"
"185","1.593161","1.1.1","host","USB","31","URB_INTERRUPT in"
"186","1.593205","host","1.1.1","USB","27","URB_INTERRUPT in"
"187","1.945103","1.1.1","host","USB","31","URB_INTERRUPT in"
"188","1.945205","host","1.1.1","USB","27","URB_INTERRUPT in"
"189","2.049228","1.1.1","host","USB","31","URB_INTERRUPT in"
"190","2.049288","host","1.1.1","USB","27","URB_INTERRUPT in"
"191","2.241234","1.1.1","host","USB","31","URB_INTERRUPT in"
"192","2.241342","host","1.1.1","USB","27","URB_INTERRUPT in"
"193","2.249095","1.1.1","host","USB","31","URB_INTERRUPT in"
"194","2.249152","host","1.1.1","USB","27","URB_INTERRUPT in"
"195","2.265095","1.1.1","host","USB","31","URB_INTERRUPT in"
"196","2.265151","host","1.1.1","USB","27","URB_INTERRUPT in"
"197","2.281195","1.1.1","host","USB","31","URB_INTERRUPT in"
"198","2.281234","host","1.1.1","USB","27","URB_INTERRUPT in"
"199","2.289170","1.1.1","host","USB","31","URB_INTERRUPT in"
"200","2.289213","host","1.1.1","USB","27","URB_INTERRUPT in"
"201","2.297169","1.1.1","host","USB","31","URB_INTERRUPT in"
"202","2.297215","host","1.1.1","USB","27","URB_INTERRUPT in"
"203","2.313213","1.1.1","host","USB","31","URB_INTERRUPT in"
"204","2.313275","host","1.1.1","USB","27","URB_INTERRUPT in"
"205","2.321210","1.1.1","host","USB","31","URB_INTERRUPT in"
"206","2.321313","host","1.1.1","USB","27","URB_INTERRUPT in"
"207","2.329238","1.1.1","host","USB","31","URB_INTERRUPT in"
"208","2.329297","host","1.1.1","USB","27","URB_INTERRUPT in"
"209","2.337243","1.1.1","host","USB","31","URB_INTERRUPT in"
"210","2.337304","host","1.1.1","USB","27","URB_INTERRUPT in"
"211","2.345240","1.1.1","host","USB","31","URB_INTERRUPT in"
"212","2.345300","host","1.1.1","USB","27","URB_INTERRUPT in"
"213","2.353250","1.1.1","host","USB","31","URB_INTERRUPT in"
"214","2.353312","host","1.1.1","USB","27","URB_INTERRUPT in"
"215","2.361230","1.1.1","host","USB","31","URB_INTERRUPT in"
"216","2.361288","host","1.1.1","USB","27","URB_INTERRUPT in"
